baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.55,0.5,rare-first,0.5232080100789073,0.001989170074041327,0.0015839687626625354,0.20370370370370516
nothing -> free,nothing,free,net_benefit,0.55,0.75,rare-first,0.8137059876666004,0.0,0.038260826856251755,
nothing -> free+education,nothing,free+education,net_benefit,0.55,0.75,rare-first,0.8137059876666004,0.0,0.005365847668864582,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.55,0.75,rare-first,0.8137059876666004,0.0,0.0026153902825358163,
free -> free+education,free,free+education,net_benefit,0.55,0.75,rare-first,0.8137059876666004,0.038260826856251755,0.005365847668864582,0.8597560975609755
free -> free+education+hours,free,free+education+hours,net_benefit,0.55,0.75,rare-first,0.8137059876666004,0.038260826856251755,0.0026153902825358163,0.9316431322207961
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.55,0.75,rare-first,0.8137059876666004,0.005365847668864582,0.0026153902825358163,0.5125858123569812
nothing -> free,nothing,free,net_benefit,0.55,1.0,full,1.0,0.0,0.0400044203779423,
nothing -> free+education,nothing,free+education,net_benefit,0.55,1.0,full,1.0,0.0,0.0065446151201483255,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.55,1.0,full,1.0,0.0,0.005316732358394416,
free -> free+education,free,free+education,net_benefit,0.55,1.0,full,1.0,0.0400044203779423,0.0065446151201483255,0.836402701043585
free -> free+education+hours,free,free+education+hours,net_benefit,0.55,1.0,full,1.0,0.0400044203779423,0.005316732358394416,0.867096378146102
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.55,1.0,full,1.0,0.0065446151201483255,0.005316732358394416,0.1876172607879929
nothing -> free,nothing,free,net_benefit,0.6,0.25,rare-first,0.26748889330946224,0.0,0.013758426345452539,
nothing -> free+education,nothing,free+education,net_benefit,0.6,0.25,rare-first,0.26748889330946224,0.0,0.0008840755884628113,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.6,0.25,rare-first,0.26748889330946224,0.0,-5.525472427892614e-05,
free -> free+education,free,free+education,net_benefit,0.6,0.25,rare-first,0.26748889330946224,0.013758426345452539,0.0008840755884628113,0.9357429718875504
free -> free+education+hours,free,free+education+hours,net_benefit,0.6,0.25,rare-first,0.26748889330946224,0.013758426345452539,-5.525472427892614e-05,1.0040160642570282
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.6,0.25,rare-first,0.26748889330946224,0.0008840755884628113,-5.525472427892614e-05,1.0625000000000004
nothing -> free,nothing,free,net_benefit,0.6,0.5,rare-first,0.5232080100789073,0.0,0.02790363576085756,
nothing -> free+education,nothing,free+education,net_benefit,0.6,0.5,rare-first,0.5232080100789073,0.0,0.004696651563708694,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.6,0.5,rare-first,0.5232080100789073,0.0,0.0032600287324566213,
free -> free+education,free,free+education,net_benefit,0.6,0.5,rare-first,0.5232080100789073,0.02790363576085756,0.004696651563708694,0.8316831683168319
free -> free+education+hours,free,free+education+hours,net_benefit,0.6,0.5,rare-first,0.5232080100789073,0.02790363576085756,0.0032600287324566213,0.8831683168316833
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.6,0.5,rare-first,0.5232080100789073,0.004696651563708694,0.0032600287324566213,0.3058823529411768
nothing -> free,nothing,free,net_benefit,0.6,0.75,rare-first,0.8137059876666004,0.0,0.028179909382252188,
nothing -> free+education,nothing,free+education,net_benefit,0.6,0.75,rare-first,0.8137059876666004,0.0,0.008288208641838879,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.6,0.75,rare-first,0.8137059876666004,0.0,0.00547021770361366,
free -> free+education,free,free+education,net_benefit,0.6,0.75,rare-first,0.8137059876666004,0.028179909382252188,0.008288208641838879,0.7058823529411764
free -> free+education+hours,free,free+education+hours,net_benefit,0.6,0.75,rare-first,0.8137059876666004,0.028179909382252188,0.00547021770361366,0.8058823529411765
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.6,0.75,rare-first,0.8137059876666004,0.008288208641838879,0.00547021770361366,0.3400000000000001
