log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_5,duration,ap,average precision,equal-level,weighted-mean,216,True,0.007790129445043325,0.0,0.0,0.007790129445043325,0.03871433721859203,0.007790129445043325,0.0309242077735487,0.7638888888888888
BPIC15_5,duration,ap,average precision,reference,one-number,216,True,0.0057419843740946315,0.0,0.0,0.0057419843740946315,0.04042853318918796,0.0057419843740946315,0.034686548815093324,0.7875000000000001
BPIC15_5,duration,ap,average precision,reference,uniform-beneficial,216,False,0.04042853318918796,0.03468654881509333,6.040864369395387,0.0057419843740946315,0.04042853318918796,0.0057419843740946315,0.034686548815093324,0.7875000000000001
BPIC15_5,duration,ap,average precision,reference,majority,216,True,0.0057419843740946315,0.0,0.0,0.0057419843740946315,0.04042853318918796,0.0057419843740946315,0.034686548815093324,0.7875000000000001
BPIC15_5,duration,ap,average precision,reference,weighted-mean,216,True,0.0057419843740946315,0.0,0.0,0.0057419843740946315,0.04042853318918796,0.0057419843740946315,0.034686548815093324,0.7875000000000001
BPIC15_5,duration,ap,average precision,concentrated,one-number,216,True,0.0010214158005172043,0.0,0.0,0.0010214158005172043,0.03601342870337286,0.0010214158005172043,0.03499201290285565,0.9062400000000002
BPIC15_5,duration,ap,average precision,concentrated,uniform-beneficial,216,False,0.03601342870337286,0.034992012902855654,34.258343061794314,0.0010214158005172043,0.03601342870337286,0.0010214158005172043,0.03499201290285565,0.9062400000000002
BPIC15_5,duration,ap,average precision,concentrated,majority,216,True,0.0010214158005172043,0.0,0.0,0.0010214158005172043,0.03601342870337286,0.0010214158005172043,0.03499201290285565,0.9062400000000002
BPIC15_5,duration,ap,average precision,concentrated,weighted-mean,216,True,0.0010214158005172043,0.0,0.0,0.0010214158005172043,0.03601342870337286,0.0010214158005172043,0.03499201290285565,0.9062400000000002
BPIC15_5,duration,auc,AUC,equal-level,one-number,216,True,0.006399055167019101,0.0,0.0,0.006399055167019101,0.03222207145358512,0.006399055167019101,0.025823016286566018,0.7824074074074074
BPIC15_5,duration,auc,AUC,equal-level,uniform-beneficial,216,False,0.03222207145358512,0.025823016286566018,4.035442047703937,0.006399055167019101,0.03222207145358512,0.006399055167019101,0.025823016286566018,0.7824074074074074
BPIC15_5,duration,auc,AUC,equal-level,majority,216,True,0.006399055167019101,0.0,0.0,0.006399055167019101,0.03222207145358512,0.006399055167019101,0.025823016286566018,0.7824074074074074
BPIC15_5,duration,auc,AUC,equal-level,weighted-mean,216,True,0.006399055167019101,0.0,0.0,0.006399055167019101,0.03222207145358512,0.006399055167019101,0.025823016286566018,0.7824074074074074
BPIC15_5,duration,auc,AUC,reference,one-number,216,True,0.006361286870388698,0.0,0.0,0.006361286870388698,0.041291744401691505,0.006361286870388698,0.034930457531302805,0.8500000000000002
