log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.275,-0.00366234419623257,0.27501861999911215,0.2713562758028796,0.0019249068198629647,-0.005264342331766472,0.0024656084917061443,200,-0.0006265568045615308,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.300,0.00016347548889394936,0.25952755583709664,0.2596910313259906,0.0021373985810055397,-0.005776304227884823,0.002964525818910018,200,-0.000815385086948528,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.325,0.00034435809003113826,0.2439565155199542,0.24430087360998534,0.0018350187827828916,-0.0041940166457403024,0.0023496479600756673,200,-0.0006402146675355052,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.350,0.0003576026319554171,0.22519062971072698,0.2255482323426824,0.0025573125251299126,-0.006640680875411241,0.003474659727341698,200,-0.0004969026110493734,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.375,-0.00022886568445137923,0.2107995994850522,0.21057073380060082,0.0028790748604731434,-0.00636103561722214,0.005007509655271068,200,0.0002968101845229562,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.400,0.0005006436847375118,0.19141276879797833,0.19191341248271584,0.002813208154790938,-0.006299766366280475,0.00582534687455303,200,0.001073403900252704,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.425,0.0004882053323216895,0.16921134626507373,0.16969955159739541,0.0029274139317330443,-0.005870902340275965,0.007246428638062583,200,0.0016509114202732714,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.450,0.006170270867739053,0.15568718222129752,0.16185745308903657,0.003682141717032084,-0.0030139400007802588,0.010068139556052588,200,0.004614244288110685,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.475,0.006675249129833638,0.13837859560932084,0.14505384473915447,0.0031810503326382238,-0.0014720456913991642,0.011017822234028803,200,0.005884913255818703,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.500,0.00815334000858245,0.1180803890716636,0.12623372908024605,0.007329644291443814,-0.012378415105135168,0.012247890144471434,200,-0.0011779430696609945,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.525,-0.0075548261298361286,0.11466998923427865,0.10711516310444252,0.004036779296613484,-0.014766165521083527,0.00029144614504365124,200,-0.006958909575469214,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.550,-0.011824727029990906,0.106994707481047,0.0951699804510561,0.006422145868002928,-0.016748517935758697,0.006031365724185013,200,-0.0044125780765746445,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.575,0.0032899442139894264,0.09124336331585989,0.09453330752984931,0.004387008117298795,-0.00699807315287722,0.009484568394658662,200,0.001889425059109613,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.600,0.006079244743241313,0.07702760692318697,0.08310685166642828,0.003866357502471777,-0.004646152195680139,0.010658346445429814,200,0.002527177800028608,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.625,0.0017880131597768634,0.06584656463071567,0.06763457779049253,0.004185236131037291,-0.004158322605254369,0.011850951223001,200,0.003929576121680255,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.650,-0.0008786807528046447,0.05616404765310501,0.055285366900300364,0.004099987137454996,-0.004164538079571679,0.010938298220160604,200,0.0041635674438563865,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.675,0.0023051615813738935,0.04872748478813413,0.05103264636950802,0.004584552485998302,-0.005464855913647242,0.01245997601311577,200,0.0029650484689105762,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.700,0.006246125971487132,0.037452915653459234,0.043699041624946366,0.004446840228887352,-0.007608591999237153,0.009545606255662038,200,0.001525294426166975,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.725,0.0036280412478381374,0.036748546832941056,0.040376588080779194,0.004710734257980305,-0.008817668170764997,0.009832284365612922,200,0.0011760250191805064,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.750,0.0002145615791732114,0.029609497925904726,0.029824059505077938,0.0050639238135457105,-0.01144686024889143,0.008584251180088704,200,-0.000803533114003718,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.775,-0.003917735501199962,0.03246237225639313,0.02854463675519317,0.005093021224296118,-0.009907778254581293,0.009543222238115696,200,-0.0003843036284747074,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.800,0.0007867257903018121,0.025032184236875976,0.02581891002717779,0.006122777243940629,-0.015698755542840812,0.010300743813474478,200,-0.0013689028751251637,False
BPIC14,duration,logit,stale,1.0,B_half,auc,0.12796511531655497,0.6180215311136803,0.7459866464302353,0.005602873467308028,0.11330519207559074,0.1353290132405699,200,0.12418802026052089,True
BPIC14,duration,logit,stale,1.0,B_half,ap,0.1623104647147685,0.5149282639092254,0.6772387286239939,0.007512379796820964,0.14281761814706556,0.1744501234051951,200,0.15672347549381146,True
BPIC14,duration,logit,stale,1.0,B_half,brier_skill,0.13219522630878378,0.05051395237678591,0.18270917868556968,0.007271464520110004,0.1137589279415238,0.13911713505927367,200,0.12585082500314582,True
BPIC14,duration,logit,stale,1.0,B_half,nagelkerke,0.17273638248297774,0.0668417937861346,0.23957817626911235,0.009376939673825862,0.14792961836093496,0.1807492757850338,200,0.1635563213779918,True
