claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K698,shiftMedian,-0.0001,1,20_inference.tex:52,"The estimator, and uncertainty that includes the model",make_numbers.py,533,s17_facts.csv,False,False,False
K699,shiftNegativePct,56\%,1,20_inference.tex:52,"The estimator, and uncertainty that includes the model",make_numbers.py,534,s17_facts.csv,False,False,False
K700,shortfallPerThousand,1.70,1,60_dca.tex:167,"The decision, in units a service desk uses",round21_numbers.py,576,s35_facts.csv,False,False,False
K701,simCoreReps,"1{,}000",0,,,round21_numbers.py,868,s31_coverage.csv,False,False,False
K702,simCoverageHalfWidth,1.4,0,,,round20_numbers.py,530,s31_coverage.csv,False,False,False
K703,simCoverageSE,0.7,1,75_simulation.tex:39,"Coverage, bias and width",round20_numbers.py,529,s31_coverage.csv,False,False,False
K704,simCoverageSEBlock,1.4,0,,,round20_numbers.py,627,s31_coverage.csv,False,False,False
K705,simGridFixedCovA,0.453,1,75_simulation.tex:99,"Sample size, register cardinality and block length",round21_numbers.py,942,s31_coverage.csv,False,False,False
K706,simGridFixedCovB,0.613,1,75_simulation.tex:99,"Sample size, register cardinality and block length",round21_numbers.py,943,s31_coverage.csv,False,False,False
K707,simGridFixedK,"1{,}000",1,75_simulation.tex:97,"Sample size, register cardinality and block length",round21_numbers.py,939,s31_coverage.csv,False,False,False
K708,simGridFixedNa,"2{,}000",1,75_simulation.tex:98,"Sample size, register cardinality and block length",round21_numbers.py,940,s31_coverage.csv,False,False,False
K709,simGridFixedNb,"8{,}000",1,75_simulation.tex:98,"Sample size, register cardinality and block length",round21_numbers.py,941,s31_coverage.csv,False,False,False
K710,simGridRatioBad,0.125,1,75_simulation.tex:89,"Sample size, register cardinality and block length",round20_numbers.py,593,s31_coverage.csv,False,False,False
K711,simGridRatioMax,0.500,0,,,round20_numbers.py,567,s31_coverage.csv,False,False,False
K712,simGridRatioMin,0.003,0,,,round20_numbers.py,566,s31_coverage.csv,False,False,False
K713,simGridRatioSafe,0.050,1,75_simulation.tex:86,"Sample size, register cardinality and block length",round20_numbers.py,582,s31_coverage.csv,False,False,False
K714,simGridReps,150,0,,,round21_numbers.py,864,s31_coverage.csv,False,False,False
K715,simGridSEMax,4.1,0,,,round21_numbers.py,866,s31_coverage.csv,False,False,False
K716,simGridSEMedian,3.0,0,,,round21_numbers.py,865,s31_coverage.csv,False,False,False
K717,simGridSERatio,3.7,0,,,round21_numbers.py,867,s31_coverage.csv,False,False,False
K718,simGridSameRatioCovA,0.780,1,75_simulation.tex:95,"Sample size, register cardinality and block length",round21_numbers.py,925,s31_coverage.csv,False,False,False
K719,simGridSameRatioCovB,0.613,1,75_simulation.tex:96,"Sample size, register cardinality and block length",round21_numbers.py,928,s31_coverage.csv,False,False,False
