pair,b_lo,b_hi,instrument,population,regime,V_lo,R
empty -> B0+g,empty,B0+g,nb_0.475,0.75,rare-first,0.0099890335192865,-0.3842482100238722
B0_half -> B0,B0_half,B0,nb_0.475,0.75,rare-first,0.0099107015141916,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.475,0.75,rare-first,0.0099107015141916,-0.39518900343642027
B0 -> B0+g,B0,B0+g,nb_0.475,0.75,rare-first,0.0099107015141916,-0.39518900343642027
empty -> B0_half,empty,B0_half,nb_0.475,1.0,full,0.0104964886827281,-0.030824140168711045
empty -> B0,empty,B0,nb_0.475,1.0,full,0.0104964886827281,-0.030824140168711045
empty -> B0+g,empty,B0+g,nb_0.475,1.0,full,0.0104964886827281,-0.370214146658006
B0_half -> B0,B0_half,B0,nb_0.475,1.0,full,0.0108200339211638,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.475,1.0,full,0.0108200339211638,-0.32924142272584755
B0 -> B0+g,B0,B0+g,nb_0.475,1.0,full,0.0108200339211638,-0.32924142272584755
empty -> B0_half,empty,B0_half,nb_0.500,0.5,random,0.005721642111286,0.07500000000002627
empty -> B0,empty,B0,nb_0.500,0.5,random,0.005721642111286,0.06250000000000444
empty -> B0+g,empty,B0+g,nb_0.500,0.5,random,0.005721642111286,-0.47499999999997367
B0_half -> B0,B0_half,B0,nb_0.500,0.5,random,0.0052925189529394,-0.013513513513537578
B0_half -> B0+g,B0_half,B0+g,nb_0.500,0.5,random,0.0052925189529394,-0.5945945945946114
B0 -> B0+g,B0,B0+g,nb_0.500,0.5,random,0.0053640394793306,-0.5733333333333126
empty -> B0_half,empty,B0_half,nb_0.500,0.5,rare-first,0.0082248605349735,0.02608695652174864
empty -> B0,empty,B0,nb_0.500,0.5,rare-first,0.0082248605349735,0.02608695652174864
empty -> B0+g,empty,B0+g,nb_0.500,0.5,rare-first,0.0082248605349735,-0.06086956521738918
B0_half -> B0,B0_half,B0,nb_0.500,0.5,rare-first,0.0080102989558002,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.500,0.5,rare-first,0.0080102989558002,-0.08928571428572263
B0 -> B0+g,B0,B0+g,nb_0.500,0.5,rare-first,0.0080102989558002,-0.08928571428572263
empty -> B0_half,empty,B0_half,nb_0.500,0.75,rare-first,0.0115148047489629,0.006211180124217175
empty -> B0,empty,B0,nb_0.500,0.75,rare-first,0.0115148047489629,0.006211180124217175
empty -> B0+g,empty,B0+g,nb_0.500,0.75,rare-first,0.0115148047489629,-0.3291925465838581
B0_half -> B0,B0_half,B0,nb_0.500,0.75,rare-first,0.0114432842225719,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.500,0.75,rare-first,0.0114432842225719,-0.3374999999999986
B0 -> B0+g,B0,B0+g,nb_0.500,0.75,rare-first,0.0114432842225719,-0.3374999999999986
