log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.325,0.0051494779001574065,0.0010925933909754684,3.954341975808485,0.0008289899917321803,0.009469965808582632,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.350,0.00615076526963243,0.0012007693914799424,3.954341975808485,0.001402512461637282,0.010899018077627578,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.375,0.007280789586611491,0.0013220347792469618,3.954341975808485,0.0020530119655565258,0.012508567207666457,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.400,0.008487102465074225,0.0014467674016000955,3.954341975808485,0.0027660893996955963,0.014208115530452856,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.425,0.009776544998849501,0.0016919669950009927,3.954341975808485,0.003085928888834531,0.01646716110886447,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.450,0.009830821445754978,0.0019094298173444625,3.954341975808485,0.0022802829691694415,0.017381359922340515,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.475,0.01156929657859429,0.0024133564409883276,3.954341975808485,0.0020260599014063733,0.021112533255782207,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.500,0.014161064225432729,0.0053992389666799685,3.954341975808485,-0.007189373057930701,0.03551150150879616,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.525,-0.00213055883880775,0.007663258111685745,3.954341975808485,-0.032433702061301556,0.02817258438368606,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.550,-0.0011045947964843927,0.006929508999106838,3.954341975808485,-0.028506243103395203,0.026297053510426417,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.575,0.0007152052639106676,0.012478546898422324,3.954341975808485,-0.04862923653361551,0.05005964706143685,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.600,0.02549706765841797,0.00828518787683637,3.954341975808485,-0.00726539854041567,0.05825953385725161,False
