term,order,share,variance,log,target,metric,total_variance
rung,1,0.06732370618300061,0.0028054636246592607,BPIC13_closed,handover,logloss_skill,0.04167125940799211
split,1,0.032122930809086216,0.0013386029826904136,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding,2,0.01652976609217188,0.0006888161707803264,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x quality_level,2,0.027212973046180283,0.0011339988590700757,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x rung,2,0.06418461228026752,0.0026746536283324238,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x split,2,0.012864707161706049,0.0005360885493433066,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x quality_level,2,0.038197121900266064,0.0015917221753446835,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x rung,2,0.074821331338853,0.003117899107472673,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x split,2,0.02766108463556456,0.0011526722333550356,BPIC13_closed,handover,logloss_skill,0.04167125940799211
quality_level x rung,2,0.005160110232916839,0.00021502829208971217,BPIC13_closed,handover,logloss_skill,0.04167125940799211
quality_level x split,2,0.017145159530183047,0.0007144603903736659,BPIC13_closed,handover,logloss_skill,0.04167125940799211
rung x split,2,0.01659311087899169,0.0006914558278240386,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x quality_level,3,0.026357969527512237,0.0010983697856489136,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x rung,3,0.0763766355076149,0.0031827105909474815,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x split,3,0.019927858974013384,0.0008304189807519951,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x quality_level x rung,3,0.005903954246911277,0.0002460252089559565,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x quality_level x split,3,0.008464005098740594,0.0003527057521001871,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x rung x split,3,0.020864712196655418,0.0008694588344199248,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x quality_level x rung,3,0.03470412959121656,0.0014461647867241604,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x quality_level x split,3,0.008360789083026475,0.0003484046107343047,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x rung x split,3,0.03150291954031529,0.0013127663322735818,BPIC13_closed,handover,logloss_skill,0.04167125940799211
quality_level x rung x split,3,0.00398631973757715,0.00016611496386777642,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x quality_level x rung,4,0.030903204553955253,0.0012877754535061123,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x quality_level x split,4,0.007698642111112242,0.00032081211250145023,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x rung x split,4,0.028305165109836782,0.001179511877878056,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x quality_level x rung x split,4,0.004457631874344745,0.00018575513418115394,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding x quality_level x rung x split,4,0.019086617888051178,0.0007953634052342031,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family x encoding x quality_level x rung x split,5,0.020933364855381068,0.0008723196771707296,BPIC13_closed,handover,logloss_skill,0.04167125940799211
family,1,0.10519692736704075,0.23574476601732652,BPIC13_closed,handover,nagelkerke,2.240985282724025
encoding,1,0.034740283246236875,0.07785246347248084,BPIC13_closed,handover,nagelkerke,2.240985282724025
quality_level,1,0.01404282721136878,0.031469769108513894,BPIC13_closed,handover,nagelkerke,2.240985282724025
rung,1,0.05571897422040854,0.12486540119641489,BPIC13_closed,handover,nagelkerke,2.240985282724025
split,1,0.04745897863724591,0.10635487265918198,BPIC13_closed,handover,nagelkerke,2.240985282724025
family x encoding,2,0.03445725639341625,0.07721820446069413,BPIC13_closed,handover,nagelkerke,2.240985282724025
family x quality_level,2,0.018091340241497653,0.04054242722594915,BPIC13_closed,handover,nagelkerke,2.240985282724025
