log,domain,target,f_rule,g_rule,instrument,base,with_f,base_g,with_gf,naive,honest,reduction
BPIC13_incidents,itsm,handover,registered,alt,brier_skill,0.24460274141058058,0.35023742355841336,0.24437603265781604,0.35081924587162416,0.10563468214783278,0.10644321321380812,-0.007654030376536891
BPIC13_incidents,itsm,handover,registered,alt,nagelkerke,0.3912461665599167,0.5030174134949433,0.3910450409301559,0.5032712316245173,0.11177124693502666,0.11222619069436135,-0.0040703112098154914
BPIC13_incidents,itsm,handover,registered,alt,nb_0.2,0.5197397441552712,0.5216144684605205,0.5197397441552712,0.5215041905602117,0.0018747243052492646,0.0017644464049404451,0.05882352941178559
BPIC13_incidents,itsm,handover,registered,alt,nb_0.3,0.4523914550381246,0.4574327304808116,0.4523914550381246,0.4578108261390132,0.00504127544268701,0.005419371100888581,-0.07500000000000906
BPIC13_incidents,itsm,handover,registered,alt,nb_0.4,0.3587707690045581,0.38523746507866485,0.36053521540949857,0.38567857667989996,0.026466696074106733,0.0251433612704014,0.04999999999999993
BPIC13_incidents,itsm,handover,registered,alt,nb_0.5,0.22849580943978826,0.3153947948831054,0.22849580943978826,0.3167181296868108,0.08689898544331714,0.08822232024702253,-0.015228426395939687
BPIC13_incidents,itsm,handover,amended,primary,auc,0.816850835090582,0.8598965718026574,0.8295762207257739,0.8668263268186289,0.043045736712075455,0.03725010609285506,0.1346388995032478
BPIC13_incidents,itsm,handover,amended,primary,ap,0.8825926038977638,0.9181965435732169,0.9009694216714617,0.9208243541026017,0.035603939675453056,0.019854932431140004,0.44233889248978586
BPIC13_incidents,itsm,handover,amended,primary,brier_skill,0.24460274141058058,0.35023742355841336,0.30141022939782347,0.37784926483695,0.10563468214783278,0.07643903543912656,0.27638315480372
BPIC13_incidents,itsm,handover,amended,primary,nagelkerke,0.3912461665599167,0.5030174134949433,0.4387137705897918,0.516959507794555,0.11177124693502666,0.07824573720476324,0.29994753256847895
BPIC13_incidents,itsm,handover,amended,primary,nb_0.2,0.5197397441552712,0.5216144684605205,0.5197397441552712,0.5216144684605205,0.0018747243052492646,0.0018747243052492646,0.0
BPIC13_incidents,itsm,handover,amended,primary,nb_0.3,0.4523914550381246,0.4574327304808116,0.45415590144306506,0.46644401033461463,0.00504127544268701,0.012288108891549576,-1.4374999999999978
BPIC13_incidents,itsm,handover,amended,primary,nb_0.4,0.3587707690045581,0.38523746507866485,0.37773856785766796,0.4062637847375386,0.026466696074106733,0.02852521687987064,-0.07777777777777972
BPIC13_incidents,itsm,handover,amended,primary,nb_0.5,0.22849580943978826,0.3153947948831054,0.3180414644905161,0.3625937362152625,0.08689898544331714,0.04455227172474635,0.4873096446700508
BPIC13_incidents,itsm,handover,amended,alt,auc,0.816850835090582,0.8598965718026574,0.8168557696419818,0.8597304419055264,0.043045736712075455,0.04287467226354458,0.0039740160489084575
BPIC13_incidents,itsm,handover,amended,alt,ap,0.8825926038977638,0.9181965435732169,0.8826319503214805,0.9178984911020703,0.035603939675453056,0.03526654078058988,0.009476448335176468
BPIC13_incidents,itsm,handover,amended,alt,brier_skill,0.24460274141058058,0.35023742355841336,0.24437603265781604,0.35081924587162416,0.10563468214783278,0.10644321321380812,-0.007654030376536891
BPIC13_incidents,itsm,handover,amended,alt,nagelkerke,0.3912461665599167,0.5030174134949433,0.3910450409301559,0.5032712316245173,0.11177124693502666,0.11222619069436135,-0.0040703112098154914
BPIC13_incidents,itsm,handover,amended,alt,nb_0.2,0.5197397441552712,0.5216144684605205,0.5197397441552712,0.5215041905602117,0.0018747243052492646,0.0017644464049404451,0.05882352941178559
BPIC13_incidents,itsm,handover,amended,alt,nb_0.3,0.4523914550381246,0.4574327304808116,0.4523914550381246,0.4578108261390132,0.00504127544268701,0.005419371100888581,-0.07500000000000906
BPIC13_incidents,itsm,handover,amended,alt,nb_0.4,0.3587707690045581,0.38523746507866485,0.36053521540949857,0.38567857667989996,0.026466696074106733,0.0251433612704014,0.04999999999999993
