family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
whole-surface,nonzero,180,400,q_mult,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9425925925925926,6.980088728408507,3.5877088632904277,4.4082784767253,1.2321778926415208,0.0,22.666666666666668,1.6162647972536635,0.7373760495726986,12.08344642399188,0.0
whole-surface,nonzero,180,400,q_mult_hi,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9425925925925926,7.011487167090672,3.602247838712935,4.4082784767253,1.226298462964036,0.0,22.333333333333332,1.6162647972536635,0.7373760495726986,12.08344642399188,0.0
whole-surface,nonzero,180,400,q_emp,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9425925925925926,7.511574436966676,3.8744188480501465,4.4082784767253,1.2179634425776236,0.0,18.0,1.6162647972536635,0.7373760495726986,12.08344642399188,0.0
whole-surface,nonzero,180,400,q_emp_hi,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9425925925925926,11.844922604079398,6.805269089730437,4.4082784767253,1.0444174525170489,0.0,5.666666666666667,1.6162647972536635,0.7373760495726986,12.08344642399188,0.0
whole-surface,nonzero,180,400,q_rad,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9425925925925926,6.873879255893169,3.5344389890510968,4.4082784767253,1.2444219951305076,0.0,23.333333333333332,1.6162647972536635,0.7373760495726986,12.08344642399188,0.0
whole-surface,nonzero,180,1000,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9407407407407408,7.202405648254833,3.598483437584402,3.407356445281494,0.9457034448841259,0.0,19.666666666666668,1.6162647972536635,2.048017213198308,12.277816856007695,0.0
whole-surface,nonzero,180,1000,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9407407407407408,7.237861349851548,3.616362195139109,3.407356445281494,0.9414261928632255,0.0,19.333333333333332,1.6162647972536635,2.048017213198308,12.277816856007695,0.0
whole-surface,nonzero,180,1000,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9407407407407408,9.355342818472804,5.092076949164468,3.407356445281494,0.9028739092009278,0.0,10.333333333333334,1.6162647972536635,2.048017213198308,12.277816856007695,0.0
whole-surface,nonzero,180,1000,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9407407407407408,13.592143349675391,6.767499938745295,3.407356445281494,0.4975373095058329,0.0,0.6666666666666666,1.6162647972536635,2.048017213198308,12.277816856007695,0.0
whole-surface,nonzero,180,1000,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9407407407407408,7.158184570815415,3.5796296396291574,3.407356445281494,0.9545424911503635,0.0,20.333333333333332,1.6162647972536635,2.048017213198308,12.277816856007695,0.0
