log,target,metric,draw,interaction_total
BPIC13_incidents,duration,ap,17,0.3409203241172698
BPIC13_incidents,duration,ap,18,0.35775660900436135
BPIC13_incidents,duration,ap,19,0.17430795356062867
BPIC13_incidents,duration,ap,20,0.3713509081607871
BPIC13_incidents,duration,ap,21,0.32100744401703585
BPIC13_incidents,duration,ap,22,0.5077830548722257
BPIC13_incidents,duration,ap,23,0.48637380372311445
BPIC13_incidents,duration,ap,24,0.3210889997945654
BPIC13_incidents,duration,ap,25,0.33808122119087614
BPIC13_incidents,duration,ap,26,0.19158687939837327
BPIC13_incidents,duration,ap,27,0.27717950949769454
BPIC13_incidents,duration,ap,28,0.4159241269319889
BPIC13_incidents,duration,ap,29,0.2673316674562711
BPIC13_incidents,duration,ap,30,0.10596499173775253
BPIC13_incidents,duration,ap,31,0.23714439186602632
BPIC13_incidents,duration,ap,32,0.5273206363682759
BPIC13_incidents,duration,ap,33,0.26459368885435874
BPIC13_incidents,duration,ap,34,0.22258327067040296
BPIC13_incidents,duration,ap,35,0.4972313164134492
BPIC13_incidents,duration,ap,36,0.35195616959493925
BPIC13_incidents,duration,ap,37,0.3638337963585476
BPIC13_incidents,duration,ap,38,0.23671083004706728
BPIC13_incidents,duration,ap,39,0.40827876041483724
BPIC13_incidents,duration,ap,40,0.3161810898216163
BPIC13_incidents,duration,ap,41,0.18443901095745152
BPIC13_incidents,duration,ap,42,0.3942146793582666
BPIC13_incidents,duration,ap,43,0.551375628683197
BPIC13_incidents,duration,ap,44,0.2827660390671194
BPIC13_incidents,duration,ap,45,0.15627955958484285
BPIC13_incidents,duration,ap,46,0.7896698468617556
BPIC13_incidents,duration,ap,47,0.15589929931711288
BPIC13_incidents,duration,ap,48,0.21447975536964348
BPIC13_incidents,duration,ap,49,0.39628277312685345
BPIC13_incidents,duration,ap,50,0.25114728306966283
BPIC13_incidents,duration,ap,51,0.3055785497485194
BPIC13_incidents,duration,ap,52,0.17934670749850812
BPIC13_incidents,duration,ap,53,0.32072238386787366
BPIC13_incidents,duration,ap,54,0.5188097655475653
BPIC13_incidents,duration,ap,55,0.19988619309717892
BPIC13_incidents,duration,ap,56,0.21742151735738502
BPIC13_incidents,duration,ap,57,0.13794244155982627
BPIC13_incidents,duration,ap,58,0.4099809869716686
BPIC13_incidents,duration,ap,59,0.5077287761255805
BPIC13_incidents,duration,ap,60,0.4002724147762218
BPIC13_incidents,duration,ap,61,0.43166283374985037
BPIC13_incidents,duration,ap,62,0.3413488228818037
BPIC13_incidents,duration,ap,63,0.31924133825427026
BPIC13_incidents,duration,ap,64,0.21740627163535975
BPIC13_incidents,duration,ap,65,0.24201390618776109
BPIC13_incidents,duration,ap,66,0.23831427020571216
BPIC13_incidents,duration,ap,67,0.38010514576605736
BPIC13_incidents,duration,ap,68,0.2246645529131056
BPIC13_incidents,duration,ap,69,0.1721970338006087
BPIC13_incidents,duration,ap,70,0.22037065992523108
BPIC13_incidents,duration,ap,71,0.1960468861579172
BPIC13_incidents,duration,ap,72,0.30441139053925403
BPIC13_incidents,duration,ap,73,0.15223201578191792
BPIC13_incidents,duration,ap,74,0.4591937049050957
BPIC13_incidents,duration,ap,75,0.3196385346166911
BPIC13_incidents,duration,ap,76,0.14148122576279654
BPIC13_incidents,duration,ap,77,0.33630224736194125
BPIC13_incidents,duration,ap,78,0.24225659825908386
BPIC13_incidents,duration,ap,79,0.28676537011847214
BPIC13_incidents,duration,auc,0,0.19222371353413048
BPIC13_incidents,duration,auc,1,0.1974234344407716
BPIC13_incidents,duration,auc,2,0.2354984126264721
BPIC13_incidents,duration,auc,3,0.16682334080564443
BPIC13_incidents,duration,auc,4,0.1896761993487327
BPIC13_incidents,duration,auc,5,0.13893175348120812
BPIC13_incidents,duration,auc,6,0.17222557966178398
BPIC13_incidents,duration,auc,7,0.22310970919319073
BPIC13_incidents,duration,auc,8,0.16659610188009466
BPIC13_incidents,duration,auc,9,0.1681742364303902
BPIC13_incidents,duration,auc,10,0.17009110609265266
BPIC13_incidents,duration,auc,11,0.06881780913159252
BPIC13_incidents,duration,auc,12,0.11177541051368434
BPIC13_incidents,duration,auc,13,0.11877838001731722
BPIC13_incidents,duration,auc,14,0.13599959905575176
BPIC13_incidents,duration,auc,15,0.21345533630826297
